DEL,ID,Smiles
CHEMBL,CHEMBL4226579,CC(C)(C)c1[nH]cnc1/C=c1\[nH]c(=O)/c(=C/c2cccc(C(=O)c3ccoc3)c2)[nH]c1=O
CHEMBL,CHEMBL3730716,O=C(c1ccc(S(=O)(=O)Nc2cccc3cccnc23)cc1)N1CC(OCc2ccccc2)C1
CHEMBL,CHEMBL1601759,Cc1nc(C(=O)Nc2ccccc2)sc1C1(C)CC(c2cccc([N+](=O)[O-])c2)=NO1
CHEMBL,CHEMBL3416702,COC(=O)c1ccc(NC(=O)[C@@H](N)CCCNC(=N)N)c(N)c1
CHEMBL,CHEMBL1479443,CCOC(=O)c1ccc(NC(=O)C2C3C=CC(C3)C2C(=O)O)cc1
CHEMBL,CHEMBL157113,COc1cc2c(c(OC)c1OC)-c1cc3c(cc1[C@H](C#N)[C@H]1COC(=O)[C@@H]1C2)OCO3
CHEMBL,CHEMBL76969,COc1nc(C#N)nc2ccccc12
CHEMBL,CHEMBL168117,CCC(=CCN1Cc2cc(C(C)(C)C)cc3nc(O)n(c23)C[C@@H]1C)CC
CHEMBL,CHEMBL1351584,CC1Cc2cc(S(=O)(=O)N3CCN(c4ccc(Cl)cc4)CC3)ccc2N1C(=O)C1CC1
CHEMBL,CHEMBL1491866,Cc1ccc(C)c(N(C)S(=O)(=O)c2ccc3[nH]cc(C(=O)NC4CCCC4)c(=O)c3c2)c1
CHEMBL,CHEMBL1594282,O=C(Nc1ncc(Cc2cccc(Cl)c2)s1)c1ccc([N+](=O)[O-])cc1
CHEMBL,CHEMBL3676335,Cc1nc2cc(-n3ncc(C(=O)c4cc5cc(C6=C(C(F)(F)F)CCC=C6)ccc5[nH]4)c3N)ccc2[nH]1
CHEMBL,CHEMBL3140050,CCCCCCCCCC[P+](C)(C)Cc1ccc(CC)cc1
CHEMBL,CHEMBL3662737,CC1(C)c2[nH]nc(NC(=O)c3cccc(Cl)c3)c2CN1C(=O)N1CCN2CCCC2C1
CHEMBL,CHEMBL38511,CC(C)(C)NC(=O)NC[C@@H]1Cc2ccccc2CN1/C(S)=N/C[C@H]1CCCN1C(=O)OC(C)(C)C
CHEMBL,CHEMBL1429983,COC(=O)c1[nH]c(C)c(C(=O)C2=C(O)C(=O)N(CCN(C)C)C2c2ccccc2OC)c1C
CHEMBL,CHEMBL1915891,COc1ccc2nc(C)c3c(C)nc(-c4cc(Cl)ccc4Cl)n3c2n1
CHEMBL,CHEMBL3209239,COc1cc(/C=N/NC(N)=O)ccc1OC(=O)c1cccs1
CHEMBL,CHEMBL1829585,C[C@@H](CNC(=O)[C@H](Cc1ccc(-c2ccccc2)cc1)N[C@@H](CCc1ccccc1)C(=O)O)C(=O)O
CHEMBL,CHEMBL50487,CCCc1c(OCCOCCOCCOc2c(C(C)=O)ccc(OCC(=O)O)c2CCC)ccc(C(C)=O)c1O
CHEMBL,CHEMBL602718,CCC(=O)NC(c1ccccc1OC)c1ccc2cccnc2c1O
CHEMBL,CHEMBL2332680,COc1cc(CCO)cc(OC)c1O[C@@H]1O[C@H](CO)[C@@H](O)[C@H](O)[C@H]1O
CHEMBL,CHEMBL1185149,C[C@H]1CCCN1CCCOc1ccc(N2CCN(C(=O)c3cc(F)cc(F)c3)CC2=O)cc1
CHEMBL,CHEMBL155883,CN1CCc2cccc3c2[C@H]1Cc1c(Br)cc(Br)c(O)c1-3
CHEMBL,CHEMBL3979141,Cc1cc(C(=O)N[C@H](C(=O)N[C@@H](Cc2ccc(F)cc2)C(=O)NNCc2ccc(O)c(O)c2O)C(C)C)no1
CHEMBL,CHEMBL4279717,Cc1ccc(-c2c(C(OC(C)(C)C)C(=O)O)c(C)nc3ccccc23)cc1
CHEMBL,CHEMBL3648290,COc1cccc(CCc2nc3cc(/C=C/C(=O)NO)ccc3n2CC(C)(C)CN(C)C)c1
CHEMBL,CHEMBL136392,COc1ccc(C2=NOC(P(=O)(O)O)C2)cc1
CHEMBL,CHEMBL1598596,COc1ccc(NC(=O)C2C3C=CC4(O3)C2C(=O)N(CCN2CCCCC2C)C4C(=O)NC2CCCCC2)cc1
CHEMBL,CHEMBL2107120,C/C=C(\C)C(=O)O[C@H]1C[C@@H]2CC[C@H](C1)N2C
CHEMBL,CHEMBL2114394,C/C(=C/c1ccc(C(=O)O)cc1)c1cc2c(cc1C)C(C)(C)CCC2(C)C
CHEMBL,CHEMBL38454,CC[C@@](C)(c1ccc(O)cc1)[C@H](CCCC(=O)NCCO)c1ccc(O)cc1
CHEMBL,CHEMBL3659832,CCOc1ccc(N2CC(Oc3ccc([C@H](C)NC(=O)CC#N)cc3)C2)cc1
CHEMBL,CHEMBL1630057,Cc1c([C@@H](C)OC(=O)Nc2ccccc2)sc2ncnn12
CHEMBL,CHEMBL1184963,CNC(=O)[C@@H]1Cc2ccc(NS(=O)(=O)O)cc2CN1C(=O)CCc1coc2ccccc12
CHEMBL,CHEMBL507686,O=C1c2c(c3c4ccc(O)cc4n(O[C@@H]4O[C@H](CO)[C@@H](O)[C@H](O)[C@H]4O)c3c3[nH]c4cc(O)ccc4c23)C(=O)N1NCc1ccc(O)cc1
CHEMBL,CHEMBL3687687,COc1cc(-c2cc(F)ccc2F)ccc1-c1nccc2cc(S(=O)(=O)Nc3ccncn3)ccc12
CHEMBL,CHEMBL4289447,COc1ccc(Cc2nc(NC3=NC(=O)N(C)C3=O)n(C)c2Cc2ccc(OC)c(OC)c2)cc1
CHEMBL,CHEMBL599286,Cc1ccn2c(NC(C)(C)CC(C)(C)C)c(-c3ccccc3OC(=O)c3ccccc3Br)nc2c1
CHEMBL,CHEMBL3353263,CCC(Oc1ccc(OCc2cccc(-c3c(C)cc(OCCCS(C)(=O)=O)cc3C)c2)cc1)C(=O)O
CHEMBL,CHEMBL17562,O=C1O[C@H](CO)CN1n1cccc1
CHEMBL,CHEMBL1224468,CNCCC(c1ccc2cc(Cl)ccc2c1)n1ncnn1
CHEMBL,CHEMBL586933,COc1ccc(-c2nonc2NC(=O)c2cccc(C)c2)cc1OC
CHEMBL,CHEMBL1309931,CN(C)S(=O)(=O)Oc1ccsc1C(=O)Nc1ccc(Br)cc1
CHEMBL,CHEMBL186581,Fc1ccc(-c2cc(F)cc(-n3nnc(-c4ccccn4)n3)c2)cc1
CHEMBL,CHEMBL501170,CC1(C)C(NCCc2ccc(S(N)(=O)=O)cc2)C1(C)C
CHEMBL,CHEMBL1951921,COC(=O)CN(C)CC(=O)Nc1cccc2c1C(=O)c1c(NC(=O)CN(C)CC(=O)OC)cccc1C2=O
CHEMBL,CHEMBL4172489,NC(CCCCN(Cc1ccc2ccccc2c1)Cc1ccc2ccccc2c1)C(=O)N1CCCC1
CHEMBL,CHEMBL1359005,CN(C)S(=O)(=O)n1cc(/C=C(\NC(=O)c2ccccc2F)C(=O)NCCCn2ccnc2)c2ccccc21
CHEMBL,CHEMBL1957392,CCOc1ncc2c(Nc3cc(C)ccc3Sc3ccc(O)cc3)ncnc2n1
CHEMBL,CHEMBL2142621,COc1cc2ccc(C(C)=NOC(C)=O)cc2cc1OC
CHEMBL,CHEMBL3653130,COc1cc(OC)c(Cl)c(-c2ccc(C(=O)Nc3ncc(CN4CCN(C)CC4)[nH]3)c3nccnc23)c1Cl
CHEMBL,CHEMBL1491838,CN1CCN(C(=O)c2cc3nc(-c4ccc(Cl)cc4)cc(C(F)(F)F)n3n2)CC1
CHEMBL,CHEMBL445494,COc1cc2c(c3oc(=O)ccc13)C(OC(C)=O)CC(C)(C)O2
CHEMBL,CHEMBL225576,CC1(C)CCC[C@]2(C)[C@@H](CCCCO)[C@H]3CC[C@@H]2[C@H]31
CHEMBL,CHEMBL1440944,NS(=O)(=O)c1cccc(NC(=O)COc2ccc([N+](=O)[O-])cc2)c1
CHEMBL,CHEMBL122319,NNC(=O)c1c[nH]cn1
CHEMBL,CHEMBL3209376,COCc1cc(/C=N\NC(=O)COc2ccc(Cl)cc2)ccc1OC
CHEMBL,CHEMBL3893084,CN1C(=O)N(c2cccc(C(F)(F)F)c2)C2=C(C(=O)CC2)C1c1ccc(C#N)cc1C(=O)N1CCn2cnnc2C1
CHEMBL,CHEMBL308824,CC[C@H](C)[C@H](NC(=O)[C@@H]1CCCN1C(=O)[C@H](Cc1c[nH]cn1)NC(C(N)=O)C(=O)[C@@H](NC(=O)OCc1ccccc1)C(C)C)C(=O)O
CHEMBL,CHEMBL190860,CN(C)Cc1ccccc1Sc1ccc(F)cc1N
CHEMBL,CHEMBL94285,CN(C)c1ccc(Nc2nccc(-c3ccccn3)n2)cc1
CHEMBL,CHEMBL1582548,COc1cc(Br)cc2cc(C(=O)NCC3CCCO3)c(=O)oc12
CHEMBL,CHEMBL2086812,COc1cc(/C=C/C(=O)OCc2c(-c3ccccc3)no[n+]2[O-])ccc1O
CHEMBL,CHEMBL1088983,CC(=O)N[C@@H](CSSc1ccc2cc(O)ccc2c1)C(=O)NC1[C@@H](OC2[C@H](O)[C@H](O)C(O)[C@@H](O)[C@H]2O)O[C@H](CO)[C@@H](O)[C@@H]1O
CHEMBL,CHEMBL1741883,Cc1ccc(S(=O)(=O)N[C@H]2COC(=O)[C@H](C)COC(=O)C/C=C\[C@H]2C)cc1
CHEMBL,CHEMBL1594657,CCOc1cccc(C2c3c(oc4ccccc4c3=O)C(=O)N2c2ccccn2)c1
CHEMBL,CHEMBL302204,O=C(c1nc2ccccc2s1)[C@@H]1CCCN1C(=O)[C@@H]1CCCN1C(=O)OCc1ccccc1
CHEMBL,CHEMBL403409,N#Cc1cc(Cl)cc(Oc2cc(OCc3nc4cccc(Cl)c4o3)ccc2Cl)c1
CHEMBL,CHEMBL4106688,CC1CCC(CNC(=O)[C@@H]2C[C@H]3C[C@H]3N2C(=O)Cn2nc(C(N)=O)c3ccccc32)C1
CHEMBL,CHEMBL3452828,CCc1oc(C(=O)N2CCCC(c3nnn[nH]3)C2)cc1C
CHEMBL,CHEMBL390571,O=C(NCCN1CCCCC1)c1ccc2c(=O)n(-c3cccc(F)c3)c(=O)[nH]c2c1
CHEMBL,CHEMBL1568218,CC(CCc1ccccc1)NC(=O)c1ccccc1F
CHEMBL,CHEMBL326869,CC(O)C(NC(=O)OC(C)(C)C)C(=O)N[C@H](Cc1cn(C=O)c2ccccc12)C(=O)N[C@@H](Cc1ccccc1)C(=O)N(C)Cc1ccccc1
CHEMBL,CHEMBL3353910,COc1ccccc1N1CCN(CCCCc2cn(-c3ccc(N(C)C)cc3)nn2)CC1
CHEMBL,CHEMBL3481585,Cc1nonc1OCCNC(=O)COc1ccc(Cl)cc1Cl
CHEMBL,CHEMBL1928498,CSc1nc(NCc2ccccc2)c2ccccc2n1
CHEMBL,CHEMBL3614064,C=C(C(C)=O)c1c2c3c(ccc2c(C)c2[n+]1CCc1cc4c(cc1-2)OCO4)OCO3
CHEMBL,CHEMBL1870819,O=C(NC12CC3CC(CC(C3)C1)C2)C1CCCN1C(=O)Nc1ccccc1
CHEMBL,CHEMBL67179,CCCCc1c(O)c2ccccc2n(-c2ccncc2)c1=O
CHEMBL,CHEMBL1486764,Cc1nc(-c2ccccc2)nc2nc(-c3ccccc3)cc(O)c12
CHEMBL,CHEMBL1822770,CCC(C(=O)N/N=C1\C(=O)Nc2c(Cl)ccc(Cl)c21)c1ccc(OC)cc1
CHEMBL,CHEMBL3445642,CC1CCN(c2ncc3c(n2)CN(Cc2cccc(F)c2)C3=O)CC1
CHEMBL,CHEMBL522473,N#CCc1ccc(N(C[C@H]2CCCN2)C(=O)COc2ccccc2)cc1
CHEMBL,CHEMBL4172845,Cc1ccc2c(=O)c3cccc(CC(=O)OCCCCOc4c5c(cc6c(=O)c7ccccc7oc46)CCC(C)(C)O5)c3oc2c1C
CHEMBL,CHEMBL4059894,CCCNS(=O)(=O)C[C@H]1C[C@@H](N(C)c2ncnc3[nH]ccc23)C1
CHEMBL,CHEMBL188566,CCCCN(Cc1ccccc1)c1cc(C)nc2c(-c3cnc(N(C)C)cc3C)c(C)nn12
CHEMBL,CHEMBL1719263,CC(=O)Nc1cc2c(cc1C(=O)c1ccc(C)cc1)OCCO2
CHEMBL,CHEMBL2142347,COc1ccc(/C=C2/SC(=S)N(CCC(=O)Nc3cccnc3)C2=O)cc1OC
CHEMBL,CHEMBL3303777,C=CC[C@]12CCN(CC)[C@H](Cc3ccc(O)cc31)[C@@]2(C)O
CHEMBL,CHEMBL278812,Nc1nc2c(cnn2CCCc2ccc(N(CCO)CCO)cc2)c2nc(-c3ccco3)nn12
CHEMBL,CHEMBL3274312,O=[N+]([O-])c1cnc(-c2ccncc2)[nH]1
CHEMBL,CHEMBL3747892,CC1CCCN(CCCCCOc2ccc(Cl)cc2)C1
CHEMBL,CHEMBL249268,CC(C)N1C[C@H](c2ccc(Cl)cc2)[C@@H](C(=O)N2CCN(C3(CNCc4ccc(C(F)(F)F)cc4)CCCCC3)CC2)C1
CHEMBL,CHEMBL502133,O=C(Cc1ccccc1)NCCC(c1ccccc1)c1ccccc1
CHEMBL,CHEMBL3195364,O=C(CN(c1ccccc1Cl)S(=O)(=O)c1ccccc1)N/N=C/c1ccccc1C(=O)O
CHEMBL,CHEMBL4084400,COc1ccc(C)c(COc2ccccc2-c2nc3cccnc3o2)c1
CHEMBL,CHEMBL154684,Cc1cccc(-c2cccc(S(=O)(=O)Nc3cc(NCC(C)C)c4n[nH]c(Cl)c4c3)c2)c1
CHEMBL,CHEMBL1088489,CC[C@@]12CCCN3CCc4c(n(c5ccccc45)[C@H](O)[C@@H]1O)[C@H]32
CHEMBL,CHEMBL1865120,OC[C@H](O)C(O)[C@H](O)CO
