Smiles,ID
CNC(=O)[C@](C)(N)Cc1ccccc1,B113dna
CNC(=O)[C@H](N)Cc1cccc(C)c1,B114dna
CNC(=O)[C@H](N)Cc1ccccc1C,B115dna
CNC(=O)[C@@H](N)Cc1cccc(Cl)c1,B116dna
CNC(=O)[C@H](N)Cc1ccc(F)cc1,B117dna
CNC(=O)[C@H](N)Cc1ccccc1F,B118dna
CNC(=O)[C@@H](N)Cc1cccc(O)c1,B119dna
CNC(=O)[C@@H](N)Cc1ccc(F)c(F)c1,B120dna
CNC(=O)[C@H](N)Cc1cc(F)cc(F)c1,B121dna
CNC(=O)[C@](C)(N)Cc1ccc(F)cc1,B122dna
CNC(=O)[C@H](N)Cc1ccc(OC)cc1,B123dna
CNC(=O)[C@@H](N)Cc1ccccc1C(N)=O,B124dna
CNC(=O)[C@H](N)Cc1cccc(C(N)=O)c1,B125dna
CNC(=O)[C@H](N)Cc1ccc(C(N)=O)cc1,B126dna
CNC(=O)[C@H](N)Cc1ccc2ccccc2n1,B127dna
CNC(=O)[C@@H](N)Cc1ccc(NC(C)=O)cc1,B128dna
CNC(=O)[C@H](N)Cc1ccc(OC)c(OC)c1,B129dna
CNC(=O)C[C@H](N)c1cccnc1,B130dna
CNC(=O)C[C@@H](N)c1ccccc1,B131dna
CNC(=O)C[C@H](N)c1ccccc1C,B132dna
CNC(=O)C[C@H](N)c1cccc(Cl)c1,B133dna
CNC(=O)C[C@H](N)c1ccccc1Cl,B134dna
CNC(=O)C[C@@H](N)c1cccc(F)c1,B135dna
CNC(=O)C[C@@H](N)c1ccccc1F,B136dna
CNC(=O)C[C@H](N)c1ccc(Br)cc1,B137dna
CNC(=O)C[C@H](N)c1cccc(O)c1,B138dna
CNC(=O)C[C@H](N)c1ccc(OC)nc1,B139dna
CNC(=O)C[C@@H](N)c1cccc(OC)c1,B140dna
CNC(=O)C[C@H](N)c1ccccc1OC,B141dna
CNC(=O)C[C@H](N)c1ccc(OC)c(OC)c1,B142dna
CNC(=O)C[C@@H](N)c1ccc(-c2ccccc2)cc1,B143dna
CNC(=O)c1cccc(CCN)c1,B144dna
CNC(=O)c1ccc(CCN)cc1,B145dna
CNC(=O)Cc1cccc(CN)c1,B146dna
CNC(=O)Cc1ccc(CN)cc1,B147dna
CNC(=O)Cc1ccccc1CN,B148dna
CNC(=O)C[C@H](N)Cc1ccco1,B149dna
CNC(=O)[C@H](N)[C@@H](O)c1ccco1,B150dna
CNC(=O)[C@H](N)[C@@H](O)c1cccs1,B151dna
CNC(=O)C[C@H](N)Cc1cccnc1,B152dna
CNC(=O)C[C@H](N)Cc1ccccc1,B153dna
CNC(=O)C[C@H](N)Cc1cccc(C)c1,B154dna
CNC(=O)C[C@H](N)Cc1ccccc1C,B155dna
CNC(=O)C[C@@H](N)Cc1cccc(F)c1,B156dna
CNC(=O)C[C@H](N)Cc1ccc(F)cc1,B157dna
CNC(=O)C[C@H](N)Cc1ccc(Br)cc1,B158dna
CNC(=O)C[C@@H](N)Cc1cc(F)c(F)cc1F,B159dna
CNC(=O)C[C@H](N)Cc1ccccc1C(F)(F)F,B160dna
CNC(=O)[C@@H](CN)Cc1ccccc1,B161dna
CNC(=O)C(CN)Cc1ccc(F)cc1,B162dna
CNC(=O)[C@H]1Cc2ccccc2CN1,B163dna
CNC(=O)[C@@H]1Cc2nccnc2CN1,B164dna
CNC(=O)[C@H](O)[C@H](N)c1ccc(C(F)(F)F)cc1,B165dna
CNC(=O)[C@H]1NC[C@@H]1c1ccccc1,B166dna
CNC(=O)[C@]1(Cc2ccccc2)CCCN1,B167dna
CNC(=O)[C@@]1(Cc2ccccc2)CCCN1,B168dna
CNC(=O)[C@@]1(Cc2ccc(F)cc2)CCCN1,B169dna
CNC(=O)c1ccc2c(c1)CNCC2,B170dna
CNC(=O)c1cccc2c1CCNC2,B171dna
CNC(=O)c1ccc2c(c1)CCNC2,B172dna
CNC(=O)c1ccc2c(c1)CCNCC2,B173dna
CNC(=O)C1CNCc2ccnn2C1,B174dna
CNC(=O)[C@H]1CNC[C@@H]1c1cccnc1,B175dna
CNC(=O)[C@@H]1CNC[C@H]1c1ccccc1,B176dna
CNC(=O)[C@H]1CNC[C@@H]1c1cccc(C)c1,B177dna
CNC(=O)[C@H]1CNCC[C@H]1c1ccccc1,B178dna
CNC(=O)[C@H]1CNC[C@@H]1c1cccc(Cl)c1,B179dna
CNC(=O)[C@@H]1CNC[C@H]1c1ccccc1Cl,B180dna
CNC(=O)[C@H]1CNC[C@@H]1c1cccc(F)c1,B181dna
CNC(=O)[C@@H]1CNC[C@H]1c1ccc(Br)cc1,B182dna
CNC(=O)[C@H]1CNC[C@@H]1c1ccc(O)cc1,B183dna
CNC(=O)[C@H]1CNC[C@@H]1c1cccc(C#N)c1,B184dna
CNC(=O)[C@H]1CNC[C@@H]1c1ccc(OC)nc1,B185dna
CNC(=O)[C@H]1CNC[C@@H]1c1cc(Cl)ccc1Cl,B186dna
CNC(=O)C1(Cc2cccc(Br)c2)CCNC1,B187dna
CNC(=O)[C@H]1CNC[C@@H]1c1cccc(OC)c1,B188dna
CNC(=O)[C@@H]1CNC[C@H]1c1ccc(OC)cc1,B189dna
CNC(=O)[C@H]1CNC[C@@H]1c1ccc(OC)c(OC)c1,B190dna
CNC(=O)C[C@@H]1Cc2ccccc2CN1,B191dna
CNC(=O)[C@@]1(Cc2ccsc2)CCCN1,B192dna
CNC(=O)[C@]1(Cc2ccco2)CCCN1,B193dna
CNC(=O)c1ccc2c(c1)CNCCO2,B194dna
CNC(=O)[C@@H](N)Cc1csc2ccccc12,B195dna
CNC(=O)C[C@@H](N)Cc1c[nH]c2ccccc12,B196dna
CNC(=O)[C@]1(N)CC[C@@H](c2ccccc2)CC1,B197dna
CNC(=O)[C@@H]1Cc2c([nH]c3ccccc23)CN1,B198dna
CNC(=O)[C@H](CN)NS(=O)(=O)c1ccccc1,B199dna
CNC(=O)C1(c2cccc3ccccc23)CCNCC1,B200dna
Cc1ccc(/C=C/C(O)=O)cc1,C1
OC(CCc1ccccc1)=O,C2
Cn1c(C(O)=O)cc(S(C)(=O)=O)c1,C3
CCOc(c(OC)c1)cc([N+]([O-])=O)c1C(O)=O,C4
CC(C)(C(O)=O)F,C5
OC(CS(CC1OCCC1)(=O)=O)=O,C6
OC(CN(C1)Cc2c1cccc2)=O,C7
OC(c1cc(Cl)c(Nc(cc2)ccc2Cl)nc1)=O,C8
CN(C1CCCCC1)C(CSCC(O)=O)=O,C9
C#CCC(O)=O,C10
CC(C)(Cc1ccc2)Oc1c2OCC(O)=O,C11
CCC1(CC1)C(O)=O,C12
CN(C1N=CN(CC(O)=O)C1C(N1C)=O)C1=O,C13
[O-][N+](c(ccc(C(O)=O)c1)c1Sc(cc1)ccc1Cl)=O,C14
CC(C)OCCC(O)=O,C15
Cc(ccc(O)c1)c1C(O)=O,C16
CC(C)(C(N1CC(O)=O)=O)NC1=O,C17
OC(COc(cc1)ccc1F)=O,C18
CN(CCC1)CC1c1cccc(C(O)=O)c1,C19
CC(C)(C)n1nnc(C(O)=O)n1,C20
OC(COCC1COCC1)=O,C21
OC(c1c2[nH]ccc2ccc1)=O,C22
OC(CCc(cc1)ccc1Br)=O,C23
CN(C)C(CSCC(O)=O)=O,C24
CC(C)(C)CC#CC(O)=O,C25
CN(CC1)CCN1S(CC(O)=O)(=O)=O,C26
CC(c1ccccc1)Oc(cc1)ncc1C(O)=O,C27
CC(C)C(C(O)=O)OC,C28
COc(c(C(O)=O)c1)cc(-n2cccc2)c1Cl,C29
O[C@H](CC(C(O)=O)=C[C@H]1O)[C@@H]1O,C30
CS(c1cc(C(O)=O)ccc1)(=O)=O,C31
OC(CN(CCC(N1)=O)C1=O)=O,C32
OC(CCc(cc1)ccc1O)=O,C33
OC(COCC1OCCC1)=O,C34
OC(c1nccnc1-c1nc(cccc2)c2s1)=O,C35
CC(C)(C)n1ncc(C(O)=O)c1C(F)(F)F,C36
COc(cc1)cc(CC(O)=O)c1Br,C37
CC1(CC1)C(O)=O,C38
CN(C1CCCCC1)C(CN(CCCC1)C1C(O)=O)=O,C39
Cc1c(COCC(O)=O)cccc1,C40
OC(c(cc1)cc2c1[nH]nc2)=O,C41
CC(C(O)=O)N(C)CC(F)(F)F,C42
N#Cc1ccc(CCC(O)=O)cc1,C43
OC(c1ccc(NC(Nc2ccccc2)=O)s1)=O,C44
OC(c(c(C(F)(F)F)ccc1)c1F)=O,C45
OC(CSCC1OCCC1)=O,C46
CC(C(O)=O)OC,C47
CN(c(n(CC(O)=O)cc1)c1C(N1C)=O)C1=O,C48
Cc(cc1)c(C)c(O)c1C(O)=O,C49
OC(C1(CC1)C(F)(F)F)=O,C50
CN(C)CCCC(O)=O,C51
COc(c(OCc1ccccc1)c1)cc(C(O)=O)c1[N+]([O-])=O,C52
CC(C1)(C2)CC(C)(C)CC1N2S(c1cc(C(O)=O)ccc1)(=O)=O,C53
CN(C)C(Cn1nnc(C(O)=O)c1)=O,C54
OC(CCc1cnccc1)=O,C55
OC(CN(CC1)Cc2c1scc2)=O,C56
OC(c(nc(cc1)-n2c(cccc3)c3nc2)c1Cl)=O,C57
CC(C)(CC=C)C(O)=O,C58
CC(C)Oc(cc(cc1)OC)c1C(O)=O,C59
OC(CSC(CC1)CS1(=O)=O)=O,C60
CCc(cc1)ccc1OCC(O)=O,C61
OC([C@H](CC1)O[C@H]1C(N1CCCC1)=O)=O,C62
OC(c(cc1)cc2c1C=CCC2)=O,C63
OC(COCC1CC1)=O,C64
OC(c1nccc2c1[nH]c1c2cccc1)=O,C65
NC(C1(CC1)C(O)=O)=O,C66
CC(C)n1nccc1-n1c(C)c(/C=C/C(O)=O)cc1C,C67
CS(c(cc1)ccc1C(O)=O)(=O)=O,C68
OC(CN(CC1)CCS1(=O)=O)=O,C69
CCc1ccc(CCC(O)=O)cc1,C70
OC(c(cc(cc1)O)c1F)=O,C71
OC(CCNC(NC1(C[C@H](C2)C3)C[C@H]3C[C@H]2C1)=O)=O,C72
CCC(C)(C(O)=O)OC,C73
OC(CN(C1)c(cccc2)c2NC1=O)=O,C74
CC(C)n1ncc(c(C(O)=O)c2)c1nc2-c1cccs1,C75
OC(CCCc1ccccc1)=O,C76
CC(C)(C)CN(C)CC(O)=O,C77
Cc(cc(cc1)OC)c1C(O)=O,C78
NC(C(C(N1)=O)=CN(CC(O)=O)C1=O)=O,C79
OC(Cc(cc(cc1)Br)c1F)=O,C80
OC(C(COCC1)N1C1CCCC1)=O,C81
N#Cc(cc1)ccc1OCC(O)=O,C82
OC(C=C(C1CC1)C1CC1)=O,C83
CC(N(CC1)CCN1S(c1cc(C(O)=O)ccc1)(=O)=O)=O,C84
CC(C)c1cc(C(O)=O)nn1C(C)(C)C,C85
C#CCCC(O)=O,C86
Cc(c(C(O)=O)ccc1)c1Br,C87
CC1(c2ncc(C(O)=O)s2)OCCO1,C88
CC(C)c1ccc(CCC(O)=O)cc1,C89
OC(c1cccnc1Nc(cc1)cc(Cl)c1Cl)=O,C90
COC([C@@H](CC1)C[C@@H]1C(O)=O)=O,C91
CN(CC(O)=O)S(c(s1)ccc1Cl)(=O)=O,C92
CC(C)Oc(c(OC)cc(C(O)=O)c1)c1Cl,C93
CC(CO)(CO)C(O)=O,C94
OC(c1c(CN2CCOCC2)cccc1)=O,C95
CC(C)COC(C)C(O)=O,C96
OC(c(c(O)c(cc1)O)c1F)=O,C97
CC(C(N1CC(O)=O)=O)(c2ccc(C)cc2)NC1=O,C98
OC(c1c(Nc2ccccc2)scn1)=O,C99
OC(COC1CCOCC1)=O,C100
Cc(cc1)ccc1SCC(O)=O,C101
CN(C)C(C1CC1)C(O)=O,C102
COc(cc1)ccc1S(c(cc1)ncc1C(O)=O)(=O)=O,C103
CC(C(N(C)CC(O)=O)=O)n1nccc1,C104
CC(C)(C(C)=Nc1ccc2)c1c2C(O)=O,C105
CCOCCC(O)=O,C106
OC(CCc(cc1)ccc1F)=O,C107
CN(C(C(SCC(O)=O)=NN1C)=O)C1=O,C108
OC(c(cc1)cc2c1[nH]cc2)=O,C109
CCC(C)(C)C(O)=O,C110
[O-][N+](c(c(C(O)=O)ccc1)c1Cl)=O,C111
